id,name,comments,sentiment
1,MI 小米10 至尊纪念版 5G智能手机 8GB+128GB 陶瓷黑,我不知道，但是我知道肯定会有人喷你,0.058891276741743104
2,MI 小米10 至尊纪念版 5G智能手机 8GB+128GB 陶瓷黑,小心被喷出翔啊，我的,0.028740658284756027
3,MI 小米10 至尊纪念版 5G智能手机 8GB+128GB 陶瓷黑,这配置还骗钱？那华为是不是就是抢劫？,0.3381126924568042
4,MI 小米10 至尊纪念版 5G智能手机 8GB+128GB 陶瓷黑,这又不是小米的错，苹果快1万的也是128g。,0.9365644687615331
5,MI 小米10 至尊纪念版 5G智能手机 8GB+128GB 陶瓷黑,你让买了一堆苹果11promax的妹纸怎么办？那玩意是最重的226克。,0.11538795753066189
6,MI 小米10 至尊纪念版 5G智能手机 8GB+128GB 陶瓷黑,还能有我的苹果热？小米散热不好说同级最好，起嘛也是比较靠上的，k30u都堆了那么强散热何况小米10u。,0.9515389781717303
7,MI 小米10 至尊纪念版 5G智能手机 8GB+128GB 陶瓷黑,手机电池会有损耗的呀,0.5570273735613566
8,MI 小米10 至尊纪念版 5G智能手机 8GB+128GB 陶瓷黑,华为mate系列,0.7158694181936329
9,MI 小米10 至尊纪念版 5G智能手机 8GB+128GB 陶瓷黑,借楼说一句，首发小米商城买的K30U8+512，前几天寄回去了，充电有问题，永远只能充到百分之96-98之间，系统明显卡顿，寄回去后，客服态度差得要死，问什么都是一句话请你耐心等待，一瞬间对这个品牌失去绝不部分的信心,0.00014337535014352643
10,MI 小米10 至尊纪念版 5G智能手机 8GB+128GB 陶瓷黑,Pro也是发热非常明显,0.4118453535933243
11,MI 小米10 至尊纪念版 5G智能手机 8GB+128GB 陶瓷黑,求推荐一款用两年电池还好好的手机,0.6163716262706013
12,MI 小米10 至尊纪念版 5G智能手机 8GB+128GB 陶瓷黑,多多又要发力了,0.6923786120385603
13,MI 小米10 至尊纪念版 5G智能手机 8GB+128GB 陶瓷黑,水的泛滥成灾,0.6739642028755579
14,MI 小米10 至尊纪念版 5G智能手机 8GB+128GB 陶瓷黑,买买买双11的iPhone12,0.32283205253762004
15,MI 小米10 至尊纪念版 5G智能手机 8GB+128GB 陶瓷黑,明年999？,0.890142453148024
